Samp,Reads,Status,Group,Group2
11S,63534864,Raw,S,11
11V1,27542732,Raw,V1,11
11V2,38405132,Raw,V2,11
12S,48430526,Raw,S,12
12V1,39612132,Raw,V1,12
12W7,42785746,Raw,V2,12
13S,52801390,Raw,S,13
13V1,43931150,Raw,V1,13
13V2,44513772,Raw,V2,13
3S,54807360,Raw,S,3
3V1,36458896,Raw,V1,3
3V2,49937106,Raw,V2,3
4S,52409868,Raw,S,4
4V1,23372564,Raw,V1,4
4V2,46797252,Raw,V2,4
7S,57130112,Raw,S,7
7V1,62303422,Raw,V1,7
7V2,16676512,Raw,V2,7
8S,63037142,Raw,S,8
8V1,30346556,Raw,V1,8
8V2,52175870,Raw,V2,8
9S,47576534,Raw,S,9
9V1,40862698,Raw,V1,9
9V2,36226800,Raw,V2,9
zymo,2125944,Raw,zymo,zymo
11S,63481694,Cleaned,S,11
11V1,27531688,Cleaned,V1,11
11V2,38392202,Cleaned,V2,11
12S,48376836,Cleaned,S,12
12V1,39588448,Cleaned,V1,12
12W7,42770544,Cleaned,V2,12
13S,52761652,Cleaned,S,13
13V1,43907954,Cleaned,V1,13
13V2,44484146,Cleaned,V2,13
3S,54727962,Cleaned,S,3
3V1,36435264,Cleaned,V1,3
3V2,49910732,Cleaned,V2,3
4S,52386618,Cleaned,S,4
4V1,23359200,Cleaned,V1,4
4V2,46773628,Cleaned,V2,4
7S,57075302,Cleaned,S,7
7V1,62249828,Cleaned,V1,7
7V2,16665768,Cleaned,V2,7
8S,62993752,Cleaned,S,8
8V1,30332994,Cleaned,V1,8
8V2,52124396,Cleaned,V2,8
9S,47530010,Cleaned,S,9
9V1,40797324,Cleaned,V1,9
9V2,36201824,Cleaned,V2,9
zymo,2125360,Cleaned,zymo,zymo